GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
53001,050,53,001,99999,999,,,Adams County,18728,6242,16428,5773,18728,16428
53003,050,53,003,30300,999,,,Asotin County,21623,9872,20551,9111,21623,20551
53005,050,53,005,28420,999,,,Benton County,175177,68618,142475,55963,175177,142475
53009,050,53,009,38820,999,,,Clallam County,71404,35582,64525,30683,71404,64525
53013,050,53,013,99999,999,,,Columbia County,4078,2136,4064,2018,4078,4064
53015,050,53,015,31020,999,,,Cowlitz County,102410,43450,92948,38624,102410,92948
53017,050,53,017,48300,999,,,Douglas County,38431,16004,32603,12944,38431,32603
53025,050,53,025,34180,999,,,Grant County,89120,35083,74698,29081,89120,74698
53027,050,53,027,10140,999,,,Grays Harbor County,72797,35166,67194,32489,72797,67194
53029,050,53,029,36020,500,,,Island County,78506,40234,71558,32378,78506,71558
53031,050,53,031,99999,999,,,Jefferson County,29872,17767,25953,14144,29872,25953
53033,050,53,033,42660,500,,,King County,1931249,851261,1737034,742237,1931249,1737034
53035,050,53,035,14740,500,,,Kitsap County,251133,107367,231969,92644,251133,231969
53037,050,53,037,21260,999,,,Kittitas County,40915,21900,33362,16475,40915,33362
53039,050,53,039,99999,999,,,Klickitat County,20318,9786,19161,8633,20318,19161
53041,050,53,041,16500,999,,,Lewis County,75455,34050,68600,29585,75455,68600
53043,050,53,043,99999,999,,,Lincoln County,10570,5776,10184,5298,10570,10184
53045,050,53,045,43220,500,,,Mason County,60699,32518,49405,25515,60699,49405
53047,050,53,047,99999,999,,,Okanogan County,41120,22245,39564,19085,41120,39564
53049,050,53,049,99999,999,,,Pacific County,20920,15547,20984,13991,20920,20984
53053,050,53,053,42660,500,,,Pierce County,795225,325375,700820,277060,795225,700820
53055,050,53,055,99999,999,,,San Juan County,15769,13313,14077,9752,15769,14077
53057,050,53,057,34580,500,,,Skagit County,116901,51473,102979,42681,116901,102979
53059,050,53,059,38900,999,,,Skamania County,11066,5628,9872,4576,11066,9872
53061,050,53,061,42660,500,,,Snohomish County,713335,286659,606024,236205,713335,606024
53063,050,53,063,44060,999,,,Spokane County,471221,201434,417939,175005,471221,417939
53065,050,53,065,99999,999,,,Stevens County,43531,21156,40066,17599,43531,40066
53067,050,53,067,36500,500,,,Thurston County,252264,108182,207355,86652,252264,207355
53069,050,53,069,99999,999,,,Wahkiakum County,3978,2067,3824,1792,3978,3824
53073,050,53,073,13380,999,,,Whatcom County,201140,90665,166814,73893,201140,166814
53075,050,53,075,39420,999,,,Whitman County,44776,19323,40740,16676,44776,40740
53077,050,53,077,49420,999,,,Yakima County,243231,85474,222581,79174,243231,222581
53007,050,53,007,48300,999,,,Chelan County,72453,35465,66616,30407,72453,66616
53011,050,53,011,38900,999,,,Clark County,425363,167413,345238,134030,425363,345238
53019,050,53,019,99999,999,,,Ferry County,7551,4403,7260,3775,7551,7260
53021,050,53,021,28420,999,,,Franklin County,78163,24423,49347,16084,78163,49347
53023,050,53,023,99999,999,,,Garfield County,2266,1233,2397,1288,2266,2397
53051,050,53,051,99999,999,,,Pend Oreille County,13001,7936,11732,6608,13001,11732
53071,050,53,071,47460,999,,,Walla Walla County,58781,23451,55180,21147,58781,55180
